mean_loss,epsilon
16.592672348,0.9923293
24.115688324,0.9922996
20.9310646057,0.9922798
19.1508560181,0.9922573
16.5617485046,0.9922276
16.4448852539,0.992206
12.9706945419,0.9921754
14.0008945465,0.9921556
15.89402771,0.9921277
17.7120685577,0.9921052
17.0189266205,0.9920332
19.8099460602,0.9919702
19.992975235,0.9919459
17.4752388,0.9919207
17.679353714,0.9918982
21.2510223389,0.9918766
22.448425293,0.9918505
18.4163036346,0.9917623
21.3658275604,0.9917416
20.2619018555,0.9917083
19.1313648224,0.9916453
18.5576992035,0.9916228
18.3610668182,0.9915976
18.2430725098,0.991576
17.7235736847,0.9915067
16.7578029633,0.9914851
20.0731220245,0.9914599
15.4676551819,0.9914374
19.8194026947,0.9913483
15.2902212143,0.9913213
18.902885437,0.9912223
18.6620521545,0.9911998
13.9757957458,0.9911755
19.4021034241,0.9911494
22.5526618958,0.9911296
25.665769577,0.9911062
17.7652568817,0.9910846
19.0919284821,0.9910603
17.5152378082,0.9910369
18.4015903473,0.9910144
17.1938610077,0.9909883
16.990858078,0.9909658
20.3496665955,0.9909442
16.4978427887,0.9909172
19.301240921,0.9908902
18.0565929413,0.9908218
18.2710571289,0.9907066
14.5644521713,0.9906841
13.065571785,0.9906625
11.5686645508,0.9906427
13.6120519638,0.9906202
13.5212917328,0.9904645
13.8619613647,0.9904447
17.6167259216,0.9904213
14.0811233521,0.9904015
12.8779335022,0.9902917
11.8280973434,0.9902692
14.2079658508,0.9901981
8.05455970764,0.9901774
10.762928009,0.9901117
16.4329910278,0.9900856
13.8249826431,0.9899947
12.1352701187,0.9899308
15.0517082214,0.9899083
16.7633361816,0.9898867
12.8166837692,0.9898651
14.7219772339,0.9898129
10.9063901901,0.9897895
11.4386672974,0.9897256
10.0213937759,0.9897022
16.0478076935,0.9896779
11.7537994385,0.9896581
12.3011741638,0.989569
12.3581428528,0.9895474
11.5206108093,0.9894808
13.0346841812,0.9894592
16.491853714,0.9894367
11.9304990768,0.9894133
10.4001026154,0.9893845
11.7249107361,0.9893602
8.23096752167,0.9893377
13.0049886703,0.9893125
16.1039104462,0.9892855
11.0442152023,0.9892621
11.7972917557,0.9892378
13.2103672028,0.9891703
15.1267337799,0.9891073
11.7737541199,0.9890857
15.7867431641,0.9890632
16.1883563995,0.9890416
12.8119726181,0.98902
10.2051782608,0.9889975
10.7258329391,0.988975
15.2576932907,0.9889552
10.4905014038,0.9889291
21.1174030304,0.9889066
18.6315517426,0.988885
17.9676914215,0.9888598
12.289598465,0.9888337
14.6221437454,0.9888121
10.3180589676,0.9887878
12.7106351852,0.9887653
14.9124336243,0.9887437
9.34430027008,0.9887239
18.0190029144,0.9887023
10.7376670837,0.9886789
13.1530313492,0.988633
15.0097856522,0.9886114
14.6125230789,0.9885916
14.057718277,0.9885214
14.2353744507,0.9884953
11.6407909393,0.9884674
12.9595403671,0.9884026
10.036942482,0.9883801
12.7021217346,0.9883162
14.5361909866,0.9882892
13.3656721115,0.9882649
10.1307945251,0.9882451
15.3281507492,0.9882226
12.3640947342,0.9881956
10.8628234863,0.988174
18.7835960388,0.9881479
12.4354133606,0.9881245
14.6094741821,0.9881002
11.0135145187,0.9880723
12.548614502,0.9880399
16.6249485016,0.9880165
11.9810018539,0.9879526
7.95601511002,0.9879301
14.4134778976,0.9879067
15.2127151489,0.9878842
9.24968242645,0.9878644
12.1400327682,0.9878428
10.8548326492,0.9878158
14.7007932663,0.9877933
12.7990570068,0.9877654
10.3685331345,0.9877456
14.075345993,0.9877087
12.6979990005,0.9876214
15.4564580917,0.9875971
15.8569421768,0.9875701
9.08314609528,0.9875449
14.2747421265,0.9874828
13.3607730865,0.987436
16.2355995178,0.9874063
17.384513855,0.987382
7.73950099945,0.9873622
11.3771429062,0.9873379
9.42161846161,0.9873163
9.68020534515,0.9872542
11.4265775681,0.9872326
14.798163414,0.987211
11.0405607224,0.9871876
14.5264596939,0.9871633
10.2735185623,0.9871435
12.3837966919,0.987121
9.89565086365,0.9871012
11.0483283997,0.9870769
13.256072998,0.9870571
11.2587823868,0.9870346
13.7615509033,0.9870103
16.2164649963,0.9869878
12.8683376312,0.9869212
13.082616806,0.986896
13.7542028427,0.9868726
11.8532066345,0.9868375
10.9733848572,0.9868177
14.0111808777,0.986707
16.3594341278,0.986662
13.106554985,0.9866404
17.3440551758,0.9866179
12.3460922241,0.98659
12.3219814301,0.9865702
12.0174865723,0.9865207
14.010887146,0.9864496
15.7324781418,0.9864271
14.0224409103,0.9864055
14.2744369507,0.9863812
10.8647508621,0.9863596
11.4736394882,0.9863353
11.2176923752,0.9863137
10.2105741501,0.9862939
15.5127620697,0.9862669
